,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
521,Wenyen Gabriel,PF,22.0,TOT,30.0,1.0,7.8,0.7,1.6,0.43799999999999994,0.2,0.7,0.3,0.5,0.9,0.536,0.5,0.5,0.7,0.682,0.7,1.0,1.7,0.3,0.4,0.2,0.5,1.3,2.1
522,Treveon Graham,SF,26.0,TOT,55.0,20.0,16.9,1.6,4.4,0.36,0.6,2.2,0.275,1.0,2.2,0.44299999999999995,0.428,0.7,1.0,0.643,0.9,1.8,2.7,0.8,0.4,0.1,0.5,1.9,4.4
523,Jeff Green,PF-C,33.0,TOT,48.0,4.0,20.0,3.3,7.2,0.462,1.3,3.8,0.33899999999999997,2.0,3.4,0.602,0.552,1.5,1.9,0.802,0.5,2.3,2.8,1.0,0.5,0.4,0.9,1.9,9.4
524,Donta Hall,C-PF,22.0,TOT,9.0,0.0,14.8,1.7,2.4,0.682,0.0,0.0,0.0,1.7,2.4,0.682,0.682,1.0,2.0,0.5,1.6,2.7,4.2,0.4,0.3,0.7,0.6,2.6,4.3
525,Maurice Harkless,PF-SF,26.0,TOT,62.0,48.0,23.0,2.3,4.6,0.502,0.5,1.6,0.34700000000000003,1.7,3.0,0.584,0.562,0.6,1.1,0.591,0.9,3.0,3.9,1.1,0.9,0.5,0.9,2.4,5.8
526,John Henson,C,29.0,TOT,40.0,8.0,15.0,2.4,4.3,0.556,0.2,0.9,0.222,2.2,3.4,0.644,0.579,0.6,1.2,0.5,1.2,2.9,4.1,1.4,0.6,1.1,0.9,2.0,5.5
527,Juan Hernangómez,PF,24.0,TOT,48.0,14.0,17.4,2.1,5.1,0.405,0.9,2.7,0.341,1.2,2.5,0.475,0.494,0.9,1.5,0.62,0.9,3.2,4.1,0.8,0.4,0.2,0.7,1.3,6.0
528,Solomon Hill,PF,28.0,TOT,59.0,4.0,18.4,1.9,4.7,0.396,1.1,2.9,0.368,0.8,1.8,0.439,0.509,0.7,0.9,0.741,0.5,2.3,2.8,1.8,0.7,0.2,0.9,1.4,5.5
529,Reggie Jackson,SG-PG,29.0,TOT,31.0,16.0,24.0,4.3,10.5,0.41100000000000003,1.8,4.7,0.39299999999999996,2.5,5.8,0.425,0.498,1.5,1.7,0.833,0.5,2.4,3.0,4.1,0.4,0.2,1.6,1.9,11.9
530,James Johnson,PF-C,32.0,TOT,32.0,1.0,19.3,3.2,6.7,0.479,1.0,2.8,0.363,2.2,3.9,0.565,0.556,1.0,1.5,0.6459999999999999,0.8,2.9,3.7,2.3,0.8,1.0,1.5,2.5,8.4
531,Tyler Johnson,PG-SG,27.0,TOT,39.0,7.0,18.2,2.5,6.4,0.38799999999999996,1.0,3.1,0.319,1.5,3.4,0.45,0.46399999999999997,1.1,1.3,0.84,0.5,1.5,1.9,1.9,0.4,0.2,0.7,1.5,7.0
532,Michael Kidd-Gilchrist,PF,26.0,TOT,25.0,0.0,11.2,0.9,2.6,0.33299999999999996,0.2,0.8,0.25,0.7,1.8,0.37,0.371,0.4,0.6,0.7859999999999999,0.6,2.1,2.7,0.6,0.1,0.2,0.6,1.5,2.4
533,Brandon Knight,SG-PG,28.0,TOT,25.0,3.0,18.5,2.4,6.7,0.353,1.8,5.2,0.344,0.6,1.4,0.389,0.488,0.8,1.4,0.588,0.2,1.5,1.6,2.8,0.4,0.1,1.5,1.6,7.3
534,Alex Len,C,26.0,TOT,55.0,12.0,17.6,3.2,5.8,0.555,0.3,1.1,0.271,2.9,4.7,0.619,0.58,1.2,1.9,0.648,1.8,4.0,5.8,0.9,0.4,0.9,1.0,2.3,8.0
535,Jordan McRae,SG,28.0,TOT,37.0,4.0,21.2,4.0,9.9,0.40700000000000003,1.2,3.4,0.35700000000000004,2.8,6.5,0.433,0.469,2.2,2.9,0.7609999999999999,0.5,2.9,3.4,2.5,0.6,0.4,1.2,2.0,11.5
